Ne4O10 {'Iter': [13], 'EtotRyd': [-2533.17929508], 'VolBohr3': [1578.22798], 'EfermiRyd': [-0.4283203102]}
MgO {'Iter': [7], 'EtotRyd': [-551.43567726], 'VolBohr3': [129.17598], 'EfermiRyd': [0.3389571962]}
BeO2 {'Iter': [7], 'EtotRyd': [-330.39894056], 'VolBohr3': [149.36729], 'EfermiRyd': [0.2899535126]}
O2Zn {'Iter': [12], 'EtotRyd': [-3893.02420066], 'VolBohr3': [205.71119], 'EfermiRyd': [0.2278930033], 'Warning_last': ':WARN : QTL-B value eq.   2.05 in Band of energy   0.14782  ATOM=    1  L=  2'}
O10Zn4 {'Iter': [11], 'EtotRyd': [-15872.11023013], 'VolBohr3': [923.7341], 'EfermiRyd': [0.2617791012]}
Ni2O {'Iter': [9], 'EtotRyd': [-6233.62735845], 'VolBohr3': [213.12134], 'EfermiRyd': [0.5464283982]}
HeO2 {'Iter': [6], 'EtotRyd': [-306.03344683], 'VolBohr3': [163.08909], 'EfermiRyd': [-0.0976343568]}
As4O6 {'Iter': [8], 'EtotRyd': [-18991.26757537], 'VolBohr3': [879.67807], 'EfermiRyd': [0.3808478251]}
Ni4O10 {'Iter': [13], 'EtotRyd': [-13669.52911335], 'VolBohr3': [817.31068], 'EfermiRyd': [0.3810542734]}
CoO {'Iter': [8], 'EtotRyd': [-2937.37733288], 'VolBohr3': [116.25284], 'EfermiRyd': [0.7046803897]}
O3Sc {'Iter': [8], 'EtotRyd': [-1979.8702201], 'VolBohr3': [477.06223], 'EfermiRyd': [-0.1134400839]}
AlO3 {'Iter': [7], 'EtotRyd': [-937.01588898], 'VolBohr3': [334.4872], 'EfermiRyd': [-0.0075191508]}
B4O6 {'Iter': [8], 'EtotRyd': [-1100.96939082], 'VolBohr3': [485.16113], 'EfermiRyd': [0.5564093841]}
OSc {'Iter': [9], 'EtotRyd': [-1679.25492241], 'VolBohr3': [151.43583], 'EfermiRyd': [0.80967536]}
O6Zn4 {'Iter': [10], 'EtotRyd': [-15271.66246177], 'VolBohr3': [767.86794], 'EfermiRyd': [0.2460601388]}
C4O10 {'Iter': [11], 'EtotRyd': [-1805.62912763], 'VolBohr3': [786.16052], 'EfermiRyd': [0.2102046069]}
As4O10 {'Iter': [10], 'EtotRyd': [-19591.86434632], 'VolBohr3': [967.04333], 'EfermiRyd': [0.3867686701]}
Co4O10 {'Iter': [13], 'EtotRyd': [-12650.72881351], 'VolBohr3': [793.33125], 'EfermiRyd': [0.4408670849]}
B2O {'Iter': [8], 'EtotRyd': [-249.25965863], 'VolBohr3': [202.56743], 'EfermiRyd': [0.3797977244], 'Warning_last': ':WARN : QTL-B value eq.   2.80 in Band of energy  -0.36409  ATOM=    2  L=  1'}
O2S {'Iter': [8], 'EtotRyd': [-1099.01254623], 'VolBohr3': [200.31948], 'EfermiRyd': [0.4218156845]}
Mn4O6 {'Iter': [10], 'EtotRyd': [-10172.17119634], 'VolBohr3': [628.27181], 'EfermiRyd': [0.6130201969]}
CaO3 {'Iter': [8], 'EtotRyd': [-1811.83450721], 'VolBohr3': [634.36411], 'EfermiRyd': [-0.2641038162]}
Mn2O {'Iter': [7], 'EtotRyd': [-4784.89931466], 'VolBohr3': [199.57342], 'EfermiRyd': [0.8038976421]}
O10S4 {'Iter': [10], 'EtotRyd': [-4695.79489199], 'VolBohr3': [900.61178], 'EfermiRyd': [0.3614618191]}
K4O10 {'Iter': [12], 'EtotRyd': [-6319.90447573], 'VolBohr3': [1335.94218], 'EfermiRyd': [-0.0445933852]}
BrO2 {'Iter': [8], 'EtotRyd': [-5513.79095523], 'VolBohr3': [249.14074], 'EfermiRyd': [0.3676571381]}
