OPo2 {'Iter': [12], 'EtotRyd': [-89141.51655109], 'VolBohr3': [473.14899], 'EfermiRyd': [0.5263586116]}
O6Sm4 {'Iter': [40], 'EtotRyd': [-84381.19030761], 'VolBohr3': [1120.90351], 'EfermiRyd': [0.5324130143]}
AgO2 {'Iter': [9], 'EtotRyd': [-10935.23690112], 'VolBohr3': [231.22125], 'EfermiRyd': [0.3571078258]}
OPm2 {'Iter': [12], 'EtotRyd': [-40259.59973799], 'VolBohr3': [410.06174], 'EfermiRyd': [0.7851696094]}
OPr {'Iter': [11], 'EtotRyd': [-18636.32280921], 'VolBohr3': [223.51199], 'EfermiRyd': [0.8465774382]}
O6Ru4 {'Iter': [9], 'EtotRyd': [-37157.55499386], 'VolBohr3': [724.25966], 'EfermiRyd': [0.7449221873]}
Fr4O10 {'Iter': [13], 'EtotRyd': [-196131.91121506], 'VolBohr3': [1535.48663], 'EfermiRyd': [0.292413802]}
HoO2 {'Iter': [27], 'EtotRyd': [-25558.26998789], 'VolBohr3': [266.26918], 'EfermiRyd': [0.4100476896]}
Hg4O6 {'Iter': [9], 'EtotRyd': [-158196.77536633], 'VolBohr3': [1040.83875], 'EfermiRyd': [0.3062591563]}
Cd2O {'Iter': [10], 'EtotRyd': [-22534.52238464], 'VolBohr3': [360.30179], 'EfermiRyd': [0.4799980862]}
LuO {'Iter': [9], 'EtotRyd': [-29313.05477868], 'VolBohr3': [174.51406], 'EfermiRyd': [0.9315869571]}
DyO3 {'Iter': [42], 'EtotRyd': [-24787.99659624], 'VolBohr3': [594.31613], 'EfermiRyd': [-0.076812414]}
BiO2 {'Iter': [8], 'EtotRyd': [-43464.05223351], 'VolBohr3': [283.71807], 'EfermiRyd': [0.44575872]}
GdO {'Iter': [13], 'EtotRyd': [-22711.39322694], 'VolBohr3': [196.30979], 'EfermiRyd': [0.8175154089]}
O2Pd {'Iter': [9], 'EtotRyd': [-10394.84955933], 'VolBohr3': [211.38967], 'EfermiRyd': [0.5172115479]}
IO3 {'Iter': [8], 'EtotRyd': [-14689.2140309], 'VolBohr3': [406.77761], 'EfermiRyd': [0.2332987808]}
Hg2O {'Iter': [8], 'EtotRyd': [-78797.68820301], 'VolBohr3': [381.76529], 'EfermiRyd': [0.4900246186]}
CsO2 {'Iter': [9], 'EtotRyd': [-15881.13502841], 'VolBohr3': [430.26127], 'EfermiRyd': [0.0626612779]}
O10Pt4 {'Iter': [11], 'EtotRyd': [-149076.44245867], 'VolBohr3': [932.17685], 'EfermiRyd': [0.5909686236]}
Ag4O6 {'Iter': [8], 'EtotRyd': [-43440.52625262], 'VolBohr3': [883.60126], 'EfermiRyd': [0.3613138603]}
FrO {'Iter': [9], 'EtotRyd': [-48807.72735669], 'VolBohr3': [369.816], 'EfermiRyd': [0.2679874934]}
